sno,COMP_CODE,CAT_CODE,SUBJECT_CODE,COURSE_NAME,TOTAL_UNITS,LECTURE_UNITS,PRACTICAL_UNITS,STATUS,PROGRAM_CODE,CDC_DEL,CDC_YEAR,EVEN_SEM,ODD_SEM,SUMMER_TERM
0,1389,ECE,F311,COMMUNICATION SYSTEMS,4,3,1,active,AA,CDC,3,FALSE,TRUE,FALSE
1,1388,ECE,F314,EM FILEDS & MICRO ENGG,3,3,0,active,AA,CDC,3,FALSE,TRUE,FALSE
2,1446,ECON,F311,INTERNATIONAL ECONOMICS,3,3,0,active,B3,CDC,3,FALSE,TRUE,FALSE
3,1447,ECON,F312,MONEY BANKING & FIN MARKETS,3,3,0,active,B3,CDC,3,FALSE,TRUE,FALSE
4,1448,ECON,F313,ISSUES IN ECONOMIC DEV,3,3,0,active,B3,CDC,3,FALSE,TRUE,FALSE
5,1242,EEE,F311,COMMUNICATION SYSTEMS,4,3,1,active,A3,CDC,3,FALSE,TRUE,FALSE
6,1112,BIO,F211,BIOLOGICAL CHEMISTRY,3,3,0,active,B1,CDC,2,FALSE,TRUE,FALSE
7,1004,BITS,F111,THERMODYNAMICS,3,3,0,active,A4,CDC,1,TRUE,TRUE,FALSE
8,1003,BITS,F110,ENGINEERING GRAPHICS,2,1,2,active,A2,CDC,1,TRUE,TRUE,FALSE
9,1010,MATH,F111,MATHEMATICS I,3,3,0,active,B4,CDC,1,FALSE,TRUE,FALSE
10,1013,ME,F112,WORKSHOP PRACTICE,2,1,1,active,A4,CDC,1,TRUE,TRUE,FALSE
11,1012,MATH,F113,PROBABILITY AND STATISTICS,3,3,0,active,B4,CDC,1,TRUE,FALSE,FALSE
12,1014,PHY,F110,PHYSICS LABORATORY,1,0,2,active,B5,CDC,1,TRUE,TRUE,FALSE
13,1009,EEE,F111,ELECTRICAL SCIENCES,3,3,0,active,A3,CDC,1,TRUE,TRUE,FALSE
14,1095,CS,F212,DATA BASE SYSTEMS,4,3,1,active,A7,CDC,2,TRUE,FALSE,FALSE
15,1094,CS,F211,DATA STRUCTURES & ALGO,4,3,1,active,A7,CDC,2,TRUE,FALSE,FALSE
16,1313,CS,F241,MICROPROC & INTERFACING,4,3,1,active,A7,CDC,2,TRUE,FALSE,FALSE
17,1180,CHE,F241,HEAT TRANSFER,3,3,0,active,A1,CDC,2,TRUE,FALSE,FALSE
18,1183,CHE,F244,SEPARATION PROCESSES I,3,3,0,active,A1,CDC,2,TRUE,FALSE,FALSE
19,1555,CHEM,F242,CHEMICAL EXPER I,3,0,3,active,B2,CDC,2,TRUE,FALSE,FALSE
20,1554,CHEM,F241,INORGANIC CHEMISTRY II,3,3,0,active,B2,CDC,2,TRUE,FALSE,FALSE
21,1263,ME,F241,MACHINE DESIGN & DRAWING,4,3,1,active,A4,CDC,2,TRUE,FALSE,FALSE
22,1266,ME,F244,KIN & DYN OF MACHINES,3,3,0,active,A4,CDC,2,TRUE,FALSE,FALSE
23,1085,ME,F215,MECHANICAL ENGG LAB,2,0,2,active,A4,CDC,2,TRUE,FALSE,FALSE
24,1264,ME,F242,IC ENGINES,2,2,0,active,A4,CDC,2,TRUE,FALSE,FALSE
25,1468,MATH,F244,MEASURE & INTEGRATION,3,3,0,active,B4,CDC,2,TRUE,FALSE,FALSE
26,1123,MATH,F213,DISCRETE MATHEMATICS,3,3,0,active,B4,CDC,2,FALSE,TRUE,FALSE
27,1465,MATH,F241,MATHEMATICAL METHODS,3,3,0,active,B4,CDC,2,TRUE,FALSE,FALSE
28,1194,CE,F244,HIGHWAY ENGINEERING,4,3,1,active,A2,CDC,2,TRUE,FALSE,FALSE
29,1191,CE,F241,ANALYSIS OF STRUCTURES,3,3,0,active,A2,CDC,2,TRUE,FALSE,FALSE
30,1193,CE,F243,SOIL MECHANICS,4,3,1,active,A2,CDC,2,TRUE,FALSE,FALSE
31,1237,BITS,F313,MULTICRITERION DEC MAKING IN ENGG & MGMT,3,3,0,active,A2,DEL,0,FALSE,FALSE,FALSE
32,1192,CE,F242,CONSTRUCTION PLANNING & TECH,3,3,0,active,A2,CDC,2,TRUE,FALSE,FALSE
33,1443,ECON,F242,MICROECONOMICS,3,3,0,active,B3,CDC,2,TRUE,FALSE,FALSE
34,1445,ECON,F244,ECONOMIC OF GROWTH & DEV,3,3,0,active,B3,CDC,2,TRUE,FALSE,FALSE
35,1444,ECON,F243,MACROECONOMICS,3,3,0,active,B3,CDC,2,TRUE,FALSE,FALSE
36,1442,ECON,F241,ECONOMETRIC METHODS,3,3,0,active,B3,CDC,2,TRUE,FALSE,FALSE
37,1024,MGTS,F211,PRINCIPLES OF MANAGEMENT,3,3,0,active,B3,CDC,2,TRUE,FALSE,FALSE
38,1294,PHA,F244,PHYSICAL PHARMACY,3,2,1,active,A5,CDC,2,TRUE,FALSE,FALSE
39,1086,PHA,F211,PHARMACEUTICAL ANALYSIS,3,2,1,active,A5,CDC,2,FALSE,TRUE,FALSE
40,1291,PHA,F241,PHARMACEUTICAL CHEMISTRY,3,2,1,active,A5,CDC,2,TRUE,FALSE,FALSE
41,1292,PHA,F242,BIOLOGICAL CHEMISTRY,3,2,1,active,A5,CDC,2,TRUE,FALSE,FALSE
42,1425,BIO,F243,GENETICS,3,3,0,active,B1,CDC,2,TRUE,FALSE,FALSE
43,1384,ECE,F241,MICROPROC & INTERFACING,4,3,1,active,AA,CDC,2,TRUE,FALSE,FALSE
44,1238,EEE,F241,MICROPROC & INTERFACING,4,3,1,active,A3,CDC,2,TRUE,FALSE,FALSE
45,1181,CHE,F242,NUM METHOD FOR CHEM ENGG,3,3,0,active,A1,CDC,2,TRUE,FALSE,FALSE
46,1466,MATH,F242,OPERATIONS RESEARCH,3,3,0,active,B4,CDC,2,TRUE,FALSE,FALSE
47,1427,BIO,F311,RECOMBINANT DNA TECH,3,3,0,active,B1,CDC,3,FALSE,TRUE,FALSE
48,1428,BIO,F312,PLANT PHYSIOLOGY,3,3,0,active,B1,CDC,3,FALSE,TRUE,FALSE
49,1429,BIO,F313,ANIMAL PHYSIOLOGY,3,3,0,active,B1,CDC,3,FALSE,TRUE,FALSE
50,1195,CE,F311,DES OF CONCRETE STRUCT,4,3,1,active,A2,CDC,3,FALSE,TRUE,FALSE
51,1196,CE,F312,HYDRAULIC ENGINEERING,4,3,1,active,A2,CDC,3,FALSE,TRUE,FALSE
52,1197,CE,F313,FOUNDATION ENGINEERING,3,3,0,active,A2,CDC,3,FALSE,TRUE,FALSE
53,1184,CHE,F311,KINETICS & REACTOR DESIGN,3,3,0,active,A1,CDC,3,FALSE,TRUE,FALSE
54,1185,CHE,F312,CHEMICAL ENGG LAB I,3,0,3,active,A1,CDC,3,FALSE,TRUE,FALSE
55,1186,CHE,F313,SEPARATION PROCESSES II,3,3,0,active,A1,CDC,3,FALSE,TRUE,FALSE
56,1187,CHE,F314,PROCESS DES PRINCIPLES I,3,3,0,active,A1,CDC,3,FALSE,TRUE,FALSE
57,1559,CHEM,F311,ORGANIC CHEMISTRY III,3,3,0,active,B2,CDC,3,FALSE,TRUE,FALSE
58,1560,CHEM,F312,PHYSICAL CHEMISTRY IV,3,3,0,active,B2,CDC,3,FALSE,TRUE,FALSE
59,1558,CHEM,F313,INSTRU METHODS OF ANAL,4,3,1,active,B2,CDC,3,FALSE,TRUE,FALSE
60,1316,CS,F301,PRINCIPLES OF PROGG LANG,2,2,0,active,A7,CDC,3,FALSE,TRUE,FALSE
61,1317,CS,F342,COMPUTER ARCHITECTURE,4,3,1,active,A7,CDC,3,TRUE,FALSE,FALSE
62,1314,CS,F351,THEORY OF COMPUTATION,3,3,0,active,A7,CDC,3,TRUE,FALSE,FALSE
63,1315,CS,F372,OPERATING SYSTEMS,3,3,0,active,A7,CDC,3,FALSE,TRUE,FALSE
64,1201,CHE,F414,TRANSPORT PHENOMENA,3,3,0,active,A1,DEL,0,FALSE,FALSE,FALSE
65,1794,BITS,F428,ESSENTIALS OF STRATE MGT,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
66,1778,ME,F433,SOLAR THERMAL PROCESS ENGG,4,3,1,active,A4,DEL,0,FALSE,FALSE,FALSE
67,1575,CHEM,F326,SOLID STATE CHEMISTRY,3,3,0,active,B2,DEL,0,FALSE,FALSE,FALSE
68,1423,BIO,F215,BIOPHYSICS,3,3,0,active,B1,CDC,3,TRUE,FALSE,FALSE
69,1281,ME,F420,POWER PLANT ENGINEERING,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
70,1284,ME,F443,QUALI CONTRO ASSUR & REL,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
71,1561,CHEM,F341,CHEMICAL EXPER II,4,0,4,active,B2,CDC,3,TRUE,FALSE,FALSE
72,1563,CHEM,F343,INORGANIC CHEMISTRY III,3,3,0,active,B2,CDC,3,TRUE,FALSE,FALSE
73,1341,INSTR,F241,MICROPROC & INTERFACING,4,3,1,active,A8,CDC,2,TRUE,FALSE,FALSE
74,1318,CS,F363,COMPILER CONSTRUCTION,3,2,1,active,A7,DEL,0,FALSE,FALSE,FALSE
75,1319,CS,F364,DESIGN & ANAL OF ALGO,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
76,1320,CS,F303,COMPUTER NETWORKS,4,3,1,active,A7,CDC,3,TRUE,FALSE,FALSE
77,1328,CS,F413,INTERNETWORKING TECH,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
78,1261,EEE,F418,MOD COMMUNICATION TECH,3,3,0,active,A3,DEL,0,FALSE,FALSE,FALSE
79,1489,PHY,F341,SOLID STATE PHYSICS,3,3,0,active,B5,CDC,3,TRUE,FALSE,FALSE
80,1490,PHY,F342,ATOMIC & MOLECULAR PHY,3,3,0,active,B5,CDC,3,TRUE,FALSE,FALSE
81,1491,PHY,F343,NUCLEAR & PARTICLE PHY,3,3,0,active,B5,CDC,3,TRUE,FALSE,FALSE
82,1492,PHY,F344,ADVANCED PHYSICS LAB,3,0,3,active,B5,CDC,3,TRUE,FALSE,FALSE
83,1253,EEE,F433,ELECTR MAG FIELD & WAVES,3,3,0,active,A3,DEL,0,FALSE,FALSE,FALSE
84,1493,PHY,F215,INTRO TO ASTRO & ASTROPH,3,3,0,active,B5,CDC,2,TRUE,FALSE,FALSE
85,1752,BIO,F377,DESIGN PROJECT,3,0,0,active,B1,DEL,0,FALSE,FALSE,FALSE
86,1758,EEE,F377,DESIGN PROJECT,3,0,0,active,A3,DEL,0,FALSE,FALSE,FALSE
87,1694,INSTR,F376,DESIGN PROJECT,3,0,0,active,A8,DEL,0,FALSE,FALSE,FALSE
88,1761,INSTR,F377,DESIGN PROJECT,3,0,0,active,A8,DEL,0,FALSE,FALSE,FALSE
89,1763,MATH,F377,DESIGN PROJECT,3,0,0,active,B4,DEL,0,FALSE,FALSE,FALSE
90,1764,ME,F377,DESIGN PROJECT,3,0,0,active,A4,DEL,0,FALSE,FALSE,FALSE
91,1766,PHA,F377,DESIGN PROJECT,3,0,0,active,A5,DEL,0,FALSE,FALSE,FALSE
92,1767,PHY,F377,DESIGN PROJECT,3,0,0,active,B5,DEL,0,FALSE,FALSE,FALSE
93,1736,BIO,F367,LABORATORY PROJECT,3,0,0,active,B1,DEL,0,FALSE,FALSE,FALSE
94,1739,CHEM,F367,LABORATORY PROJECT,3,0,0,active,B2,DEL,0,FALSE,FALSE,FALSE
95,1740,CS,F367,LABORATORY PROJECT,3,0,0,active,A7,DEL,0,FALSE,FALSE,FALSE
96,1705,ECE,F367,LABORATORY PROJECT,3,0,0,active,AA,DEL,0,FALSE,FALSE,FALSE
97,1741,ECON,F367,LABORATORY PROJECT,3,0,0,active,B3,DEL,0,FALSE,FALSE,FALSE
98,1742,EEE,F367,LABORATORY PROJECT,3,0,0,active,A3,DEL,0,FALSE,FALSE,FALSE
99,1747,MATH,F367,LABORATORY PROJECT,3,0,0,active,B4,DEL,0,FALSE,FALSE,FALSE
100,1748,ME,F367,LABORATORY PROJECT,3,0,0,active,A4,DEL,0,FALSE,FALSE,FALSE
101,1750,PHA,F367,LABORATORY PROJECT,3,0,0,active,A5,DEL,0,FALSE,FALSE,FALSE
102,1751,PHY,F367,LABORATORY PROJECT,3,0,0,active,B5,DEL,0,FALSE,FALSE,FALSE
103,1737,CE,F367,LABORATORY PROJECT,3,0,0,active,A2,DEL,0,FALSE,FALSE,FALSE
104,1738,CHE,F367,LABORATORY PROJECT,3,0,0,active,A1,DEL,0,FALSE,FALSE,FALSE
105,1812,BITS,F442,REMOTE SENS & IMAGE PROC,3,3,0,active,A2,DEL,0,FALSE,FALSE,FALSE
106,1301,PHA,F343,FORENSIC PHARMACY,2,2,0,active,A5,CDC,3,TRUE,FALSE,FALSE
107,1302,PHA,F344,NATURAL DRUGS,3,2,1,active,A5,CDC,3,TRUE,FALSE,FALSE
108,1304,PHA,F414,BIOPHARMACEUTICS,3,3,0,active,A5,DEL,0,FALSE,FALSE,FALSE
109,1853,BITS,F345,INFORMATION LAW & CYBER LAW,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
110,1769,BITS,F419,MANAGEMENT OF CROSS-CULTURAL ENGINEERING TEAMS,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
111,1562,CHEM,F342,ORGANIC CHEMISTRY IV,3,3,0,active,B2,CDC,3,TRUE,FALSE,FALSE
112,1699,PHA,F376,DESIGN PROJECT,3,0,0,active,A5,DEL,0,FALSE,FALSE,FALSE
113,1303,PHA,F413,PHARMA MANG & QUAL CONTR,3,3,0,active,A5,DEL,0,FALSE,FALSE,FALSE
114,1296,PHA,F341,PHARMACOLOGY II,3,2,1,active,A5,CDC,3,TRUE,FALSE,FALSE
115,1298,PHA,F342,MEDICINAL CHEMISTRY II,3,2,1,active,A5,CDC,3,TRUE,FALSE,FALSE
116,1808,BITS,F416,INTRO TO NANO SCIENCE,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
117,1690,ECON,F376,DESIGN PROJECT,3,0,0,active,B3,DEL,0,FALSE,FALSE,FALSE
118,1684,ECON,F366,LABORATORY PROJECT,3,0,0,active,B3,DEL,0,FALSE,FALSE,FALSE
119,1230,CE,F416,COMP APPL IN CIVIL ENGG,4,2,2,active,A2,DEL,0,FALSE,FALSE,FALSE
120,1572,CHEM,F325,POLYMER CHEMISTRY,3,3,0,active,B2,DEL,0,FALSE,FALSE,FALSE
121,1586,CHEM,F336,NANOCHEMISTRY,4,3,1,active,B2,DEL,0,FALSE,FALSE,FALSE
122,1587,CHEM,F337,GREEN CHEM & CATALYSIS,3,3,0,active,B2,DEL,0,FALSE,FALSE,FALSE
123,1402,MF,F311,MECHATRONICS & AUTOMAT,3,2,1,active,A4,DEL,0,FALSE,FALSE,FALSE
124,1412,MF,F412,AUTOMOTIVE SYSTEMS,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
125,1346,INSTR,F312,TRANSD & MEASUREMENT TEC,3,3,0,active,A8,CDC,3,FALSE,TRUE,FALSE
126,1347,INSTR,F313,ANALOG & DIGITAL VLSI DES,3,3,0,active,A8,CDC,3,FALSE,TRUE,FALSE
127,1345,INSTR,F311,ELECTRO INST & INST TECH,4,3,1,active,A8,CDC,3,FALSE,TRUE,FALSE
128,1496,PHY,F413,PARTICLE PHYSICS,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
129,1696,MATH,F376,DESIGN PROJECT,3,0,0,active,B4,DEL,0,FALSE,FALSE,FALSE
130,1500,PHY,F417,EXPT METHODS OF PHYSICS,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
131,1859,PHY,F112,GENERAL PHYSICS,3,3,0,active,B5,CDC,1,TRUE,TRUE,FALSE
132,1660,INSTR,F266,STUDY PROJECT,3,0,0,active,A8,DEL,0,FALSE,FALSE,FALSE
133,1734,INSTR,F366,LABORATORY PROJECT,3,0,0,active,A8,DEL,0,FALSE,FALSE,FALSE
134,1745,INSTR,F367,LABORATORY PROJECT,3,0,0,active,A8,DEL,0,FALSE,FALSE,FALSE
135,1418,MF,F421,SUPPLY CHAIN MANAGEMENT,4,0,0,active,A4,DEL,0,FALSE,FALSE,FALSE
136,1497,PHY,F414,PHYSICS OF ADVANCED MATERIALS,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
137,1498,PHY,F415,GENERAL THEORY OF RELATIVITY AND COSMOLOGY,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
138,1710,BIO,F491,SPECIAL PROJECTS,3,0,0,active,B1,DEL,0,FALSE,FALSE,FALSE
139,1348,INSTR,F341,ANALOG ELECTRONICS,4,3,1,active,A8,CDC,3,TRUE,FALSE,FALSE
140,1349,INSTR,F342,POWER ELECTRONICS,4,3,1,active,A8,CDC,3,TRUE,FALSE,FALSE
141,1350,INSTR,F343,INDUS INSTRUMENT & CONT,3,3,0,active,A8,CDC,3,TRUE,FALSE,FALSE
142,1217,CE,F324,NUMERICAL ANALYSIS,3,3,0,active,A2,DEL,0,FALSE,FALSE,FALSE
143,1286,ME,F452,COMPOSITE MATERIAL & DES,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
144,1881,MATH,F444,NUMERICA SOLUTIONS TO ODE,3,3,0,active,B4,DEL,0,FALSE,FALSE,FALSE
145,1860,BITS,F114,GENERAL MATHEMATICS II,3,3,0,active,B4,CDC,1,TRUE,TRUE,FALSE
146,1330,MATH,F441,DISCRETE MATHS STRUC,3,3,0,active,B4,DEL,0,FALSE,FALSE,FALSE
147,1857,CS,F469,INFORMATION RETRIEVAL,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
148,1577,CHEM,F327,ELECTROCHEM FUNDA & APPL,3,3,0,active,B2,DEL,0,FALSE,FALSE,FALSE
149,1868,ME,F484,AUTOMOTIVE TECHNOLOGY,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
150,1875,ECON,F435,MARKETING RESEARCH,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
151,1716,EEE,F491,SPECIAL PROJECT,3,0,0,active,A3,DEL,0,FALSE,FALSE,FALSE
152,1704,ECE,F491,SPECIAL PROJECT,3,0,0,active,AA,DEL,0,FALSE,FALSE,FALSE
153,1714,CS,F491,SPECIAL PROJECT,3,0,0,active,A7,DEL,0,FALSE,FALSE,FALSE
154,1724,PHA,F491,SPECIAL PROJECT,3,0,0,active,A5,DEL,0,FALSE,FALSE,FALSE
155,1333,CS,F407,ARTIFICIAL INTELLIGENCE,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
156,1773,ECON,F314,INDUSTRIAL ECONOMICS,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
157,1254,EEE,F422,MODERN CONTROL SYSTEMS,3,3,0,active,A3,DEL,0,FALSE,FALSE,FALSE
158,1247,EEE,F432,MEDICAL INSTRUMENTATION,3,3,0,active,A3,DEL,0,FALSE,FALSE,FALSE
159,1351,INSTR,F432,MEDICAL INSTRUMENTAITON,3,3,0,active,A8,DEL,0,FALSE,FALSE,FALSE
160,1797,BITS,F468,NEW VENTURE CREATION,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
161,1452,ECON,F351,INDIAN ECONOMIC DEV,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
162,1568,ECON,F471,RESOURCES & ENVIR ECON,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
163,1550,ECON,F411,PROJECT APPRAISAL,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
164,1566,ECON,F412,SECUR ANAL & PORTFOL MGT,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
165,1547,ECON,F355,BUSS ANAL & VALUATION,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
166,1552,ECON,F414,CREAT & LEAD ENTREP ORGN,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
167,1567,ECON,F422,FUNT & WORK STOCK EXCHAN,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
168,1327,CS,F401,MULTIMEDIA COMPUTING,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
169,1339,BITS,F464,MACHINE LEARNING,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
170,1204,CHE,F413,PROCESS PLANT SAFETY,3,3,0,active,A1,DEL,0,FALSE,FALSE,FALSE
171,1200,CE,F343,DESIGN OF STEEL STRUCTURES,3,3,0,active,A2,CDC,3,TRUE,FALSE,FALSE
172,1227,CE,F431,PRIN OF GEO INFO SYST,4,3,1,active,A2,DEL,0,FALSE,FALSE,FALSE
173,1324,CS,F424,SOFTWARE FOR EMBEDED SYS,4,3,1,active,A7,DEL,0,FALSE,FALSE,FALSE
174,1494,PHY,F315,THEORY OF RELATIVITY,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
175,1683,PHY,F366,LABORATORY PROJECT,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
176,1700,PHY,F376,DESIGN PROJECT,3,3,0,active,B5,DEL,0,FALSE,FALSE,FALSE
177,1215,CE,F323,INTRO TO ENVIRN ENGG,3,3,0,active,A2,DEL,0,FALSE,FALSE,FALSE
178,1219,CE,F432,STRUCTURAL DYNAMICS,3,3,0,active,A2,DEL,0,FALSE,FALSE,FALSE
179,1434,BIO,F418,GENETIC ENGINEERING TECH,4,1,3,active,B1,DEL,0,FALSE,FALSE,FALSE
180,1796,BITS,F462,RENEWABLE ENERGY,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
181,1867,ME,F483,WIND ENERGY,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
182,1287,ME,F461,REFRIGERATION & AIRCOND,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
183,1213,CHE,F418,MODEL & SIMU IN CHE ENGG,3,3,0,active,A1,DEL,0,FALSE,FALSE,FALSE
184,1545,FIN,F313,SECUR ANAL & PORTFOL MGT,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
185,1539,FIN,F311,DERIVATIVES & RISK MGMT,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
186,1571,CHEM,F324,NUMERICAL METHOD IN CHEM,4,3,1,active,B2,DEL,0,FALSE,FALSE,FALSE
