Dept,Email,,,,Code
Department of Civil Engineering,civil@hyderabad.bits-pilani.ac.in,,,,CE
Department of Chemical Engineering,che@hyderabad.bits-pilani.ac.in,,,,CHE
Department of Computer Science & Information Systems,hod-csis@hyderabad.bits-pilani.ac.in,,,,CS
Department of Pharmacy,pharma@hyderabad.bits-pilani.ac.in,,,,PHA
Department of Electrical Engineering,eee@hyderabad.bits-pilani.ac.in,,,,EEE
Department of Mechanical Engineering,mech.dept@hyderabad.bits-pilani.ac.in,,,,ME
department of M.SC MATHEMATCIS,math@hyderabad.bits-pilani.ac.in,,,,MATH
Department of M.SC ECONOMICS,eco@hyderabad.bits-pilani.ac.in,,,,ECO
Department of M.SC PHYSICS,phy@hyderabad.bits-pilani.ac.in,,,,PHY
Department of M.SC BIOLOGY,bio.office@hyderabad.bits-pilani.ac.in,,,,BIO
Department of M.SC CHEMISTRY,chem@hyderabad.bits-pilani.ac.in,,,,CHEM
